timestamp,ip_address,method,endpoint,status_code,response_time_ms
2025-09-06 17:01:47,192.168.1.9,GET,/checkout,200,1847
2025-09-06 15:37:27,192.168.1.1,GET,/,200,1169
2025-09-06 08:41:44,192.168.1.25,GET,/products,400,33
2025-09-06 19:10:44,192.168.1.18,GET,/,201,229
2025-09-06 06:06:22,192.168.1.42,GET,/cart,201,1118
2025-09-06 07:59:24,192.168.1.2,GET,/products,401,760
2025-09-06 15:45:04,192.168.1.2,GET,/,200,496
2025-09-06 21:24:17,192.168.1.19,POST,/,200,1392
2025-09-06 09:59:43,192.168.1.30,GET,/,201,354
2025-09-06 13:17:59,192.168.1.30,GET,/products,400,1609
2025-09-06 05:52:02,192.168.1.39,GET,/,403,1181
2025-09-06 21:20:13,192.168.1.31,GET,/profile,200,562
2025-09-06 07:47:35,192.168.1.24,POST,/login,200,761
2025-09-06 09:08:32,192.168.1.22,POST,/cart,200,347
2025-09-06 20:27:38,192.168.1.2,GET,/profile,200,1153
2025-09-06 21:00:43,192.168.1.35,GET,/products,200,1332
2025-09-06 11:18:27,192.168.1.4,GET,/checkout,201,1045
2025-09-06 19:32:58,192.168.1.3,GET,/cart,200,427
2025-09-06 07:48:10,192.168.1.24,POST,/products,200,683
2025-09-06 14:07:59,192.168.1.14,DELETE,/cart,200,513
2025-09-06 21:05:05,192.168.1.35,POST,/profile,200,277
2025-09-06 07:30:35,192.168.1.4,GET,/products,404,1922
2025-09-06 15:46:44,192.168.1.5,GET,/profile,200,917
2025-09-06 22:28:07,192.168.1.8,GET,/,200,1225
2025-09-06 09:04:45,192.168.1.30,GET,/profile,401,165
2025-09-06 14:17:42,192.168.1.21,GET,/checkout,401,1200
2025-09-06 13:50:30,192.168.1.40,GET,/,200,887
2025-09-06 12:55:46,192.168.1.2,GET,/products,200,1511
2025-09-06 11:55:06,192.168.1.8,GET,/login,200,590
2025-09-06 13:55:59,192.168.1.2,POST,/cart,200,1355
2025-09-06 23:53:00,192.168.1.49,PUT,/cart,200,1014
2025-09-06 14:55:25,192.168.1.45,GET,/,200,1917
2025-09-06 19:29:18,192.168.1.18,DELETE,/profile,200,1491
2025-09-06 14:12:18,192.168.1.6,GET,/checkout,200,662
2025-09-06 05:37:30,192.168.1.22,POST,/,404,184
2025-09-06 21:04:38,192.168.1.2,POST,/login,404,1186
2025-09-06 09:38:02,192.168.1.29,GET,/products,200,1934
2025-09-06 09:42:45,192.168.1.12,GET,/,200,956
2025-09-06 10:48:59,192.168.1.2,GET,/profile,500,170
2025-09-06 15:32:16,192.168.1.4,GET,/,200,603
2025-09-06 07:53:34,192.168.1.34,GET,/profile,200,36
2025-09-06 17:35:19,192.168.1.47,GET,/cart,200,1842
2025-09-06 06:35:09,192.168.1.9,GET,/checkout,200,1318
2025-09-06 21:32:31,192.168.1.8,PUT,/,200,1718
2025-09-06 10:00:21,192.168.1.37,GET,/,201,1149
2025-09-06 18:35:00,192.168.1.3,PUT,/products,200,93
2025-09-06 20:37:35,192.168.1.4,GET,/login,401,1650
2025-09-06 23:02:57,192.168.1.14,GET,/products,200,1166
2025-09-06 21:26:39,192.168.1.36,PUT,/,200,1658
2025-09-06 20:56:26,192.168.1.1,POST,/login,404,1662
2025-09-06 17:47:51,192.168.1.8,GET,/checkout,200,99
2025-09-06 21:14:12,192.168.1.40,GET,/login,201,486
2025-09-06 09:42:12,192.168.1.16,GET,/,201,739
2025-09-06 17:25:43,192.168.1.49,GET,/profile,200,554
2025-09-06 08:16:02,192.168.1.3,GET,/checkout,200,1261
2025-09-06 23:07:24,192.168.1.45,GET,/,200,1084
2025-09-06 22:34:43,192.168.1.35,POST,/products,200,163
2025-09-06 23:58:21,192.168.1.29,GET,/,403,1058
2025-09-06 10:26:20,192.168.1.17,GET,/,200,1945
2025-09-06 12:47:57,192.168.1.5,GET,/login,400,642
2025-09-06 10:27:50,192.168.1.27,GET,/products,200,457
2025-09-06 14:50:57,192.168.1.48,POST,/products,200,1379
2025-09-06 16:21:05,192.168.1.40,POST,/products,200,427
2025-09-06 07:02:15,192.168.1.50,GET,/checkout,200,1834
2025-09-06 16:12:45,192.168.1.33,GET,/,200,31
2025-09-06 21:55:49,192.168.1.44,POST,/,400,1445
2025-09-06 14:03:35,192.168.1.8,POST,/products,400,1387
2025-09-06 14:35:38,192.168.1.12,POST,/login,400,1846
2025-09-06 14:53:58,192.168.1.25,POST,/checkout,200,550
